26820	that would be a good an interesting way	NONE	NONE	O O O D D O O O
44195	the weather has been certainly has been hot	NONE	NONE	O O D D O O O O
4278	and i catered to their diet is the only thing though	NONE	NONE	O O O O O O O O O O O
13781	i just i do n't know	NONE	NONE	D D O O O O
10914	i 'm we 're starting out a new one	NONE	NONE	D D O O O O O O O
28895	so but it is something that 's a little frightening	NONE	NONE	D O O O O O O O O O
53353	actually i think that i higher level education	NONE	NONE	O O O O D O O O
4530	but it 's just you have to have a need	NONE	NONE	O O O O O O O O O O
13439	then that 's probably one of the reasons our	NONE	NONE	O O O O O O O O O
47209	and they at that time they had no testing whatsoever	NONE	NONE	O D O O O O O O O O
